商品货号,货源,中国尺码,外国尺码,品牌,市场价,库存数量,类别,小类,性别,季节,折扣
511881-023,浙江A仓,40,7,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,浙江A仓,40.5,7.5,耐克,499.0,13,鞋,板鞋/休闲鞋,男,18Q1,6.1
511881-023,湖北特价渠道,44,10,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.49
511881-023,天马总仓1仓,44,10,耐克,499.0,17,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,44.5,10.5,耐克,499.0,7,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,40.5,7.5,耐克,499.0,1,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,42,8.5,耐克,499.0,22,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,42.5,9,耐克,499.0,22,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,天马总仓1仓,43,9.5,耐克,499.0,20,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,广州店铺2仓渠道,40.5,7.5,耐克,499.0,12,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,广州店铺2仓渠道,40,7,耐克,499.0,12,鞋,板鞋/休闲鞋,男,18Q1,6.0
511881-023,深圳2仓,40.5,7.5,耐克,499.0,19,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,40,7,耐克,499.0,11,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,42,8.5,耐克,499.0,36,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,41,8,耐克,499.0,30,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,43,9.5,耐克,499.0,16,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,44,10,耐克,499.0,14,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,39,6.5,耐克,499.0,3,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,深圳2仓,42.5,9,耐克,499.0,23,鞋,板鞋/休闲鞋,男,18Q1,5.99
511881-023,广东特价渠道,40.5,7.5,耐克,499.0,20,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,40,7,耐克,499.0,10,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,42,8.5,耐克,499.0,61,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,41,8,耐克,499.0,70,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,43,9.5,耐克,499.0,36,鞋,板鞋/休闲鞋,男,18Q1,6.39
511881-023,广东特价渠道,44,10,耐克,499.0,16,鞋,板鞋/休闲鞋,男,18Q1,6.39
